,id,gender,has_car_and_property,income_type,education_type,family_status,housing_type,occupation_type,amount_income_total
8,5169560,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,90000.0
23,6297619,Male,True,Commercial associate,Higher education,Single / not married,Rented apartment,High skill tech staff,360000.0
169,5548993,Female,True,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
276,5344333,Female,True,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,135000.0
353,5499766,Female,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,225000.0
382,6249107,Female,True,Working,Higher education,Married,House / apartment,High skill tech staff,270000.0
485,6782846,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
487,5022329,Male,True,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
542,5952003,Male,True,Working,Higher education,Married,House / apartment,High skill tech staff,202500.0
831,6424552,Female,True,Working,Academic degree,Married,House / apartment,Core staff,157500.0
921,6107609,Female,True,Working,Higher education,Married,House / apartment,Core staff,360000.0
1071,6317841,Female,True,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
1181,5010975,Male,True,Working,Higher education,Married,House / apartment,Sales staff,126000.0
1327,6636546,Female,True,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,202500.0
1435,6469264,Female,True,Working,Higher education,Married,House / apartment,Core staff,315000.0
1635,6803003,Female,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,112500.0
1652,5833246,Female,True,Working,Higher education,Married,Office apartment,Core staff,207000.0
1665,6575352,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
1754,6087087,Female,True,Commercial associate,Higher education,Married,With parents,Core staff,202500.0
1791,6519196,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,90000.0
1809,6578057,Male,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,112500.0
1874,6087931,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
1934,5056007,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
1939,6486143,Male,True,Working,Higher education,Single / not married,House / apartment,Medicine staff,270000.0
2134,5743393,Male,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
2273,6591224,Female,True,Commercial associate,Higher education,Separated,House / apartment,Core staff,360000.0
2724,6144043,Female,True,Commercial associate,Higher education,Separated,House / apartment,High skill tech staff,135000.0
2858,6396980,Female,True,Working,Higher education,Married,House / apartment,Medicine staff,157500.0
2940,6737535,Female,True,State servant,Higher education,Married,House / apartment,Core staff,225000.0
3007,6624648,Male,True,Working,Higher education,Single / not married,House / apartment,Sales staff,202500.0
3012,5702259,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
3313,5626688,Female,True,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,67500.0
3393,6048367,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,171000.0
3504,6363309,Female,True,Working,Higher education,Single / not married,House / apartment,HR staff,135000.0
3527,5580957,Male,True,Working,Higher education,Single / not married,House / apartment,IT staff,166500.0
3709,6079799,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
4052,6098521,Female,True,State servant,Higher education,Married,House / apartment,Core staff,157500.0
4130,6053518,Female,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,157500.0
4172,7536655,Female,True,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,292500.0
4262,6723155,Male,True,Working,Higher education,Married,Rented apartment,High skill tech staff,135000.0
4298,6586789,Male,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
4402,6661345,Female,True,Working,Higher education,Married,House / apartment,High skill tech staff,157500.0
4452,6139996,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
4587,6836556,Female,True,Working,Incomplete higher,Married,House / apartment,Sales staff,270000.0
4589,5932073,Female,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,117000.0
4893,6272076,Male,True,State servant,Higher education,Married,House / apartment,Core staff,157500.0
4949,5354235,Female,True,State servant,Higher education,Single / not married,House / apartment,High skill tech staff,135000.0
5014,6590797,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
5048,6367452,Female,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,337500.0
5102,6604905,Male,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,135000.0
5280,6471954,Male,True,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,157500.0
5349,7212533,Female,True,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,382500.0
5465,5883153,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
5522,6472423,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,157500.0
5728,6507948,Male,True,Working,Secondary / secondary special,Married,House / apartment,Security staff,225000.0
5906,6630459,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
5938,5772290,Female,True,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,292500.0
5965,5279185,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,288000.0
6024,5317879,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,360000.0
6038,6292308,Female,True,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,202500.0
6112,6472786,Male,True,Working,Higher education,Married,House / apartment,Core staff,247500.0
6270,6048369,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,171000.0
6465,5743554,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,112500.0
6520,6077504,Male,True,State servant,Higher education,Married,House / apartment,Core staff,162000.0
6603,5927603,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,382500.0
6642,5113852,Male,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,90000.0
6685,5680634,Female,True,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
6817,6291275,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6836,6273453,Female,True,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,90000.0
7013,5702396,Female,True,Working,Secondary / secondary special,Separated,House / apartment,Private service staff,90000.0
7138,5861067,Female,True,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,540000.0
7142,5791702,Male,True,Commercial associate,Higher education,Married,House / apartment,Core staff,459000.0
7200,5541407,Male,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,270000.0
7222,5529424,Male,True,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
7238,7106721,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
7240,6234850,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,301500.0
7272,5598595,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
7439,6223662,Male,True,Working,Higher education,Civil marriage,House / apartment,High skill tech staff,202500.0
7510,6778697,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
7827,5548354,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,382500.0
7903,6138708,Female,True,State servant,Incomplete higher,Married,House / apartment,Core staff,405000.0
7969,5541409,Male,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,270000.0
8138,5022420,Female,True,Working,Higher education,Married,With parents,High skill tech staff,157500.0
8156,6133263,Female,True,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
8250,6209587,Male,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
8332,6836343,Male,True,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,360000.0
8462,6611440,Female,True,Working,Higher education,Single / not married,House / apartment,Core staff,135000.0
8466,6292204,Female,True,Commercial associate,Incomplete higher,Civil marriage,House / apartment,High skill tech staff,180000.0
8667,5061701,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,135000.0
8857,6163133,Female,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
8888,5943129,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,112500.0
8932,5090098,Male,True,Working,Higher education,Single / not married,House / apartment,High skill tech staff,256500.0
8977,5833240,Female,True,Working,Higher education,Married,Office apartment,Core staff,207000.0
9022,5235671,Female,True,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,405000.0
9130,6800938,Male,True,Working,Higher education,Married,House / apartment,High skill tech staff,135000.0
9312,5833688,Female,True,Working,Higher education,Married,House / apartment,Core staff,360000.0
9336,5791961,Female,True,State servant,Secondary / secondary special,Married,House / apartment,Core staff,292500.0
9346,5823881,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
9384,5022330,Male,True,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
9403,6472419,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,157500.0
9527,6484819,Male,True,Working,Higher education,Married,House / apartment,Sales staff,315000.0
9593,5010088,Female,True,Working,Incomplete higher,Single / not married,With parents,Sales staff,112500.0
9631,5062683,Male,True,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,247500.0
9654,6372883,Male,True,Commercial associate,Higher education,Civil marriage,House / apartment,High skill tech staff,315000.0
9675,5918250,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
9899,6653004,Female,True,State servant,Higher education,Married,With parents,Core staff,225000.0
9950,5957803,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
9982,6240840,Female,True,Commercial associate,Higher education,Married,House / apartment,Private service staff,292500.0
10049,5346005,Male,True,Working,Higher education,Single / not married,House / apartment,High skill tech staff,180000.0
10184,5627632,Female,True,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,180000.0
10189,5731057,Female,True,Working,Higher education,Married,House / apartment,Core staff,315000.0
10302,6396986,Female,True,Working,Higher education,Married,House / apartment,Medicine staff,157500.0
10392,5028551,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
10400,5113407,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
10482,5884021,Female,True,State servant,Higher education,Married,House / apartment,IT staff,143100.0
10637,6158869,Female,True,Working,Higher education,Married,With parents,Core staff,270000.0
10642,5062542,Female,True,Commercial associate,Higher education,Civil marriage,House / apartment,Medicine staff,135000.0
10755,6046455,Female,True,Working,Higher education,Married,House / apartment,Core staff,112500.0
10835,6021561,Female,True,Working,Higher education,Married,House / apartment,Medicine staff,360000.0
10937,5317853,Female,True,State servant,Higher education,Married,House / apartment,Core staff,234000.0
11080,6781858,Female,True,Working,Secondary / secondary special,Married,With parents,Security staff,90000.0
11083,5702075,Female,True,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,211500.0
11104,5166835,Female,True,Working,Higher education,Married,House / apartment,Core staff,117000.0
11156,5062403,Male,True,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,202500.0
11223,7416083,Male,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,189000.0
11262,5056006,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
11274,6264737,Female,True,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
11369,5707217,Female,True,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,121500.0
11402,6724213,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
11457,5788759,Female,True,Commercial associate,Higher education,Married,With parents,Sales staff,270000.0
11731,5062687,Male,True,State servant,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,247500.0
11791,5760612,Female,True,Working,Higher education,Married,House / apartment,Sales staff,630000.0
11795,5010366,Female,True,Working,Higher education,Separated,House / apartment,Medicine staff,157500.0
11905,6630572,Female,True,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,202500.0
11932,5905303,Male,True,Working,Incomplete higher,Married,House / apartment,High skill tech staff,225000.0
11941,6146943,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
12019,5892583,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,189000.0
12249,5627746,Male,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
12389,5738584,Male,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
12445,6803000,Female,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,112500.0
12496,6693446,Female,True,Working,Higher education,Single / not married,House / apartment,Core staff,135000.0
12497,5853839,Male,True,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,256500.0
12590,5995826,Female,True,State servant,Higher education,Married,House / apartment,HR staff,112500.0
12627,5416192,Female,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
12726,5957441,Male,True,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Core staff,112500.0
12793,6736708,Female,True,Commercial associate,Secondary / secondary special,Single / not married,With parents,Cooking staff,180000.0
12796,5929924,Male,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,418500.0
12821,5680434,Female,True,Working,Higher education,Married,House / apartment,Core staff,135000.0
13025,5742343,Male,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,90000.0
13148,5113405,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
13232,5169175,Female,True,Commercial associate,Higher education,Married,House / apartment,Core staff,67500.0
13248,5091162,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,256500.0
13276,6563767,Male,True,Working,Higher education,Married,House / apartment,High skill tech staff,180000.0
13346,6357419,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,108000.0
